,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Анализ конкурентов ""ПОЧЕМУ НЕ ХУДЕЮ""",,,,,,,,,,,,,,,
,"Ссылки на статью топ-5 конкурентов 
в поисковой выдаче","Объем статьи
(кол-во знаков в статье без пробелов)","Заголовок
(название статьи)","Подзаголовок 1
(название статьи)","Подзаголовок 2
(название статьи)","Подзаголовок 3
(название статьи)","Подзаголовок 4
(название статьи)","Подзаголовок 5
(название статьи)","Подзаголовок 6
(название статьи)","Подзаголовок 7
(название статьи)","Подзаголовок 8
(название статьи)","Подзаголовок 9
(название статьи)","Подзаголовок 10
(название статьи)","Подзаголовок 11
(название статьи)","Подзаголовок 12
(название статьи)","Подзаголовок 13
(название статьи)"
1,https://centr-hirurgii.ru/about/articles/pochemu-ne-poluchaetsya-pokhudet/?utm_referrer=https%3A%2F%2Fyandex.ru%2F,8451,Почему не получается похудеть?,Эндокринные нарушения,Метаболический синдром,Воспалительные процессы: хроническое воспаление и набор веса,Синдром поликистозных яичников и другие гормональные причины,Как ускорить обмен веществ?,Когда нужно обратиться к врачу: тревожные симптомы,Источники,,,,,,
2,https://www.52gkb.ru/press-tsentr/besedy-s-vrachom/1460-ne-mogu-pokhudet-u-menya-gormony-rody-vozrast,5894,Не могу похудеть – у меня гормоны/роды/возраст!,Что чаще становится причиной лишнего веса: неправильное питание или гормональные сбои?,А может ли питание влиять на гормоны?,"Гормоны влияют на вес, а вес — на гормоны. Как лишние килограммы меняют гормональный фон?","Многие женщины набирают вес после родов или во время менопаузы. В каких пределах набор веса можно считать нормальным, а когда стоит обратиться к врачу?",Действительно ли недосып и стрессы провоцируют набор веса? Нужно ли в этом случае идти к врачу?,,,,,,,,
3,https://medgorod-clinic.ru/stati/pochemu-voznikaet-trudnost-s-pokhudeniem--samyy-polnyy-razbor-s-primerami-i-rekomendatsiyami/,8540,Почему возникает трудность с похудением? Самый полный разбор с примерами и рекомендациями,Физиологические причины трудностей с похудением,Психологические препятствия и поведенческие факторы,Генетическая предрасположенность и особенности организма,Социальные и поведенческие факторы,"Практические советы для тех, кто сталкивается с трудностями при похудении",Выводы,,,,,,,
4,"https://www.clinica-repromed.ru/states/zanimayus-sportom-i-pravilno-pitayus,-no-ne-xudeyu.-rasskazyivaem-–-pochemu/",2958,"Занимаюсь спортом и правильно питаюсь, но не худею. Рассказываем – почему.",Как раскачать метаболизм?,Что проверяем?,Это важно знать!,,,,,,,,,,
5,https://istclinic.ru/blog/ne-hudeyu-pri-deficite-kalorij-kogda-pora-k-dietologu/,7208,Не худею при дефиците калорий: когда пора к диетологу,Почему при дефиците калорий вес может не снижаться,"Частые причины, почему не уходит вес при дефиците калорий",Компенсация активности: меньше движений в течение дня,Задержка жидкости и колебания веса,Слишком жесткая диета и нарушение режима питания,"Недостаток белка, клетчатки и “опоры” рациона","Сон и стресс как причина, почему не уходит вес",Медицинские причины: когда организм мешает снижению веса,"Что проверить самостоятельно, если не худею при дефиците калорий","Когда идти к диетологу: признаки, что пора не откладывать","Как помогает диетолог, если не уходит вес","Как отслеживать прогресс, если вес стоит",Итог
6,https://unclinic.ru/kak-poterjat-ves-i-pochemu-diety-nedostatochno-jeffektivny-mnenie-jendokrinologa/,14829,"КАК ПОТЕРЯТЬ ВЕС, И ПОЧЕМУ ДИЕТЫ НЕДОСТАТОЧНО
ЭФФЕКТИВНЫ — МНЕНИЕ ЭНДОКРИНОЛОГА","Почему не похудеть — причина №1: букет
заболеваний","Почему не похудеть — причина №2:
психологические трудности","Почему не похудеть — причина №3: лень","Принципы похудения","Какое влияние кардио-нагрузка оказывает на
похудение?","Силовые упражнения","Признаки того, что диета вам не подходит, и как
выбрать хороший вариан","Можно ли похудеть, не заставляя себя и не изменяя
своим привычкам?","Можно ли похудеть с помощью жиросжигателей?","Можно ли доверять натуральным продуктам для похудения?
",,,
7,https://zdravcity.ru/blog-o-zdorovie/pitayus-pravilno-a-ves-stoit-na-meste-chto-delat/,5599,"Питаюсь правильно, а вес стоит на месте. Что делать?",Вы сокращаете слишком много калорий,Вы едите слишком много здоровой пищи,"Вы едите больше, чем думаете",Ваши тренировки не эффективны,Вы не высыпаетесь,Вы часто нервничаете,Другие заболевания,Вы достигли плато,"Возможно, вам не нужно худеть",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Подготовка ТЗ,,,,,,,,,,,,,,,
,Средний объем кол-ва знаков в статье,Основная тема статьи,,,План статьи,,,,,,,,,,,
,7640,ПОЧЕМУ НЕ ХУДЕЮ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Технические требования к написанию статьи,,,,,,,,,,,,,,,
,Уникальность по text.ru - не ниже 90%,,,,,,,,,,,,,,,
,Риск фильтра Баден-Баден по сервису Тургенев - не выше 6 баллов ,,,,,,,,,,,,,,,
,Маркетинговая идея текста,,,,,,,,,,,,,,,
